task,k,log,eval_seed,value
future_activity_set,14,bpi13_incidents,0,0.8356695771217346
future_activity_set,14,bpi13_incidents,1,0.8353031277656555
future_activity_set,14,bpi13_incidents,2,0.8345555663108826
future_activity_set,14,helpdesk,0,0.8771583437919617
future_activity_set,14,helpdesk,1,0.8823237419128418
future_activity_set,14,helpdesk,2,0.8782415390014648
future_activity_set,14,mimic_transfer,0,0.8200888633728027
future_activity_set,14,mimic_transfer,1,0.8198005557060242
future_activity_set,14,mimic_transfer,2,0.8197070360183716
future_activity_set,15,BPI17,0,0.7748914957046509
future_activity_set,15,BPI17,1,0.7715287804603577
future_activity_set,15,BPI17,2,0.7732651233673096
future_activity_set,15,BPI20ID,0,0.8522664308547974
future_activity_set,15,BPI20ID,1,0.8499177694320679
future_activity_set,15,BPI20ID,2,0.8479630351066589
future_activity_set,15,bpi13_incidents,0,0.8408815264701843
future_activity_set,15,bpi13_incidents,1,0.839663565158844
future_activity_set,15,bpi13_incidents,2,0.8374040722846985
future_activity_set,15,helpdesk,0,0.8671225905418396
future_activity_set,15,helpdesk,1,0.8806747794151306
future_activity_set,15,helpdesk,2,0.8809523582458496
future_activity_set,15,mimic_transfer,0,0.8219955563545227
future_activity_set,15,mimic_transfer,1,0.8219639658927917
future_activity_set,15,mimic_transfer,2,0.8222675323486328
next_3_activities,0,BPI17,0,0.703593373298645
next_3_activities,0,BPI17,1,0.7034891843795776
next_3_activities,0,BPI17,2,0.7038109302520752
next_3_activities,0,BPI20ID,0,0.611710250377655
next_3_activities,0,BPI20ID,1,0.6099661588668823
next_3_activities,0,BPI20ID,2,0.6094678640365601
next_3_activities,0,bpi13_incidents,0,0.5314046740531921
next_3_activities,0,bpi13_incidents,1,0.5355817079544067
next_3_activities,0,bpi13_incidents,2,0.5324876308441162
next_3_activities,0,helpdesk,0,0.7374481558799744
next_3_activities,0,helpdesk,1,0.7190234661102295
next_3_activities,0,helpdesk,2,0.7466605305671692
next_3_activities,0,mimic_transfer,0,0.5491582751274109
next_3_activities,0,mimic_transfer,1,0.5494949221611023
next_3_activities,0,mimic_transfer,2,0.5488215684890747
next_3_activities,1,BPI17,0,0.713456392288208
next_3_activities,1,BPI17,1,0.7137572765350342
next_3_activities,1,BPI17,2,0.7143174409866333
next_3_activities,1,BPI20ID,0,0.6200747489929199
next_3_activities,1,BPI20ID,1,0.6048051118850708
next_3_activities,1,BPI20ID,2,0.6209645867347717
next_3_activities,1,bpi13_incidents,0,0.5639696717262268
next_3_activities,1,bpi13_incidents,1,0.5698484182357788
next_3_activities,1,bpi13_incidents,2,0.5685334205627441
next_3_activities,1,helpdesk,0,0.708889901638031
next_3_activities,1,helpdesk,1,0.71257483959198
next_3_activities,1,helpdesk,2,0.71257483959198
next_3_activities,1,mimic_transfer,0,0.5577440857887268
next_3_activities,1,mimic_transfer,1,0.5574073791503906
next_3_activities,1,mimic_transfer,2,0.5572390556335449
next_3_activities,2,BPI17,0,0.7217615842819214
next_3_activities,2,BPI17,1,0.7219768762588501
next_3_activities,2,BPI17,2,0.7232245206832886
next_3_activities,2,BPI20ID,0,0.6561309695243835
next_3_activities,2,BPI20ID,1,0.6602242588996887
next_3_activities,2,BPI20ID,2,0.662929356098175
next_3_activities,2,bpi13_incidents,0,0.5594832897186279
next_3_activities,2,bpi13_incidents,1,0.5650526285171509
next_3_activities,2,bpi13_incidents,2,0.5611076951026917
next_3_activities,2,helpdesk,0,0.7489635944366455
next_3_activities,2,helpdesk,1,0.7153385281562805
next_3_activities,2,helpdesk,2,0.7309995293617249
next_3_activities,2,mimic_transfer,0,0.5735689997673035
next_3_activities,2,mimic_transfer,1,0.5718855261802673
next_3_activities,2,mimic_transfer,2,0.5749158263206482
next_3_activities,3,BPI17,0,0.7466633319854736
next_3_activities,3,BPI17,1,0.7466957569122314
next_3_activities,3,BPI17,2,0.7470220923423767
next_3_activities,3,BPI20ID,0,0.6631073355674744
next_3_activities,3,BPI20ID,1,0.6550631523132324
next_3_activities,3,BPI20ID,2,0.6668446063995361
next_3_activities,3,bpi13_incidents,0,0.5573174357414246
next_3_activities,3,bpi13_incidents,1,0.562809407711029
next_3_activities,3,bpi13_incidents,2,0.5595606565475464
next_3_activities,3,helpdesk,0,0.7434362173080444
next_3_activities,3,helpdesk,1,0.7236296534538269
next_3_activities,3,helpdesk,2,0.7300782799720764
next_3_activities,3,mimic_transfer,0,0.5809764266014099
next_3_activities,3,mimic_transfer,1,0.5813131332397461
next_3_activities,3,mimic_transfer,2,0.5833333134651184
next_3_activities,4,BPI17,0,0.732356071472168
next_3_activities,4,BPI17,1,0.7319139242172241
next_3_activities,4,BPI17,2,0.7337170839309692
next_3_activities,4,BPI20ID,0,0.6433885097503662
next_3_activities,4,BPI20ID,1,0.6427478194236755
next_3_activities,4,BPI20ID,2,0.6443495154380798
next_3_activities,4,bpi13_incidents,0,0.5531404614448547
next_3_activities,4,bpi13_incidents,1,0.5467976331710815
next_3_activities,4,bpi13_incidents,2,0.5538366436958313
next_3_activities,4,helpdesk,0,0.7618609070777893
next_3_activities,4,helpdesk,1,0.768770158290863
next_3_activities,4,helpdesk,2,0.7770612835884094
next_3_activities,4,mimic_transfer,0,0.5878787636756897
next_3_activities,4,mimic_transfer,1,0.5858585834503174
next_3_activities,4,mimic_transfer,2,0.5873737335205078
next_3_activities,5,BPI17,0,0.7340805530548096
next_3_activities,5,BPI17,1,0.7346939444541931
next_3_activities,5,BPI17,2,0.733724057674408
next_3_activities,5,BPI20ID,0,0.6196476221084595
next_3_activities,5,BPI20ID,1,0.6208577752113342
next_3_activities,5,BPI20ID,2,0.6187222003936768
next_3_activities,5,bpi13_incidents,0,0.5576268434524536
next_3_activities,5,bpi13_incidents,1,0.5575494766235352
next_3_activities,5,bpi13_incidents,2,0.5534498691558838
next_3_activities,5,helpdesk,0,0.7540304064750671
next_3_activities,5,helpdesk,1,0.7549516558647156
next_3_activities,5,helpdesk,2,0.7563334703445435
next_3_activities,5,mimic_transfer,0,0.5814814567565918
next_3_activities,5,mimic_transfer,1,0.5845117568969727
next_3_activities,5,mimic_transfer,2,0.5845117568969727
next_3_activities,6,BPI17,0,0.7289025187492371
next_3_activities,6,BPI17,1,0.7300135493278503
next_3_activities,6,BPI17,2,0.7291085124015808
next_3_activities,6,BPI20ID,0,0.6063356399536133
next_3_activities,6,BPI20ID,1,0.6034169793128967
next_3_activities,6,BPI20ID,2,0.6038796901702881
next_3_activities,6,bpi13_incidents,0,0.5619585514068604
next_3_activities,6,bpi13_incidents,1,0.5570080280303955
next_3_activities,6,bpi13_incidents,2,0.5593286156654358
next_3_activities,6,helpdesk,0,0.772455096244812
next_3_activities,6,helpdesk,1,0.8102257251739502
next_3_activities,6,helpdesk,2,0.7835099101066589
next_3_activities,6,mimic_transfer,0,0.5670033693313599
next_3_activities,6,mimic_transfer,1,0.5666666626930237
next_3_activities,6,mimic_transfer,2,0.5683501958847046
next_3_activities,7,BPI17,0,0.7303769588470459
next_3_activities,7,BPI17,1,0.7310181260108948
next_3_activities,7,BPI17,2,0.7307241559028625
next_3_activities,7,BPI20ID,0,0.6458444595336914
next_3_activities,7,BPI20ID,1,0.648442804813385
next_3_activities,7,BPI20ID,2,0.6440647840499878
next_3_activities,7,bpi13_incidents,0,0.5548421740531921
next_3_activities,7,bpi13_incidents,1,0.5555383563041687
next_3_activities,7,bpi13_incidents,2,0.5515934228897095
next_3_activities,7,helpdesk,0,0.785352349281311
next_3_activities,7,helpdesk,1,0.7950253486633301
next_3_activities,7,helpdesk,2,0.8046982884407043
next_3_activities,7,mimic_transfer,0,0.5757575631141663
next_3_activities,7,mimic_transfer,1,0.5819865465164185
next_3_activities,7,mimic_transfer,2,0.5776094198226929
next_3_activities,8,BPI17,0,0.7273192405700684
next_3_activities,8,BPI17,1,0.727381706237793
next_3_activities,8,BPI17,2,0.728041410446167
next_3_activities,8,BPI20ID,0,0.6735005974769592
next_3_activities,8,BPI20ID,1,0.6702972054481506
next_3_activities,8,BPI20ID,2,0.6719701290130615
next_3_activities,8,bpi13_incidents,0,0.5500463843345642
next_3_activities,8,bpi13_incidents,1,0.5557703971862793
next_3_activities,8,bpi13_incidents,2,0.5434715151786804
next_3_activities,8,helpdesk,0,0.7683095335960388
next_3_activities,8,helpdesk,1,0.7655458450317383
next_3_activities,8,helpdesk,2,0.7784430980682373
next_3_activities,8,mimic_transfer,0,0.5861952900886536
next_3_activities,8,mimic_transfer,1,0.5861952900886536
next_3_activities,8,mimic_transfer,2,0.5850168466567993
next_3_activities,9,BPI17,0,0.714657723903656
next_3_activities,9,BPI17,1,0.7146553993225098
next_3_activities,9,BPI17,2,0.715157687664032
next_3_activities,9,BPI20ID,0,0.6920448541641235
next_3_activities,9,BPI20ID,1,0.6948211193084717
next_3_activities,9,BPI20ID,2,0.6967431902885437
next_3_activities,9,bpi13_incidents,0,0.5486540794372559
next_3_activities,9,bpi13_incidents,1,0.5502011179924011
next_3_activities,9,bpi13_incidents,2,0.5493502616882324
next_3_activities,9,helpdesk,0,0.7356057167053223
next_3_activities,9,helpdesk,1,0.7503454685211182
next_3_activities,9,helpdesk,2,0.7646245956420898
next_3_activities,9,mimic_transfer,0,0.585185170173645
next_3_activities,9,mimic_transfer,1,0.5858585834503174
next_3_activities,9,mimic_transfer,2,0.5875421166419983
next_3_activities,10,BPI17,0,0.718254804611206
next_3_activities,10,BPI17,1,0.7179585099220276
next_3_activities,10,BPI17,2,0.7174075841903687
next_3_activities,10,BPI20ID,0,0.6352375745773315
next_3_activities,10,BPI20ID,1,0.6388681530952454
next_3_activities,10,BPI20ID,2,0.6324613094329834
next_3_activities,10,bpi13_incidents,0,0.5498143434524536
next_3_activities,10,bpi13_incidents,1,0.547184407711029
next_3_activities,10,bpi13_incidents,2,0.5648205280303955
next_3_activities,10,helpdesk,0,0.7314601540565491
next_3_activities,10,helpdesk,1,0.7802855968475342
next_3_activities,10,helpdesk,2,0.7567940950393677
next_3_activities,10,mimic_transfer,0,0.5856902599334717
next_3_activities,10,mimic_transfer,1,0.5875421166419983
next_3_activities,10,mimic_transfer,2,0.5858585834503174
next_3_activities,11,BPI17,0,0.7308144569396973
next_3_activities,11,BPI17,1,0.730863094329834
next_3_activities,11,BPI17,2,0.7312774062156677
