log,arm,task,n_labels,n_train_samples,seed,value,run
BPI17,random_role,next_time,5000,5000,0,0.5919311046600342,2026-09-11T15:28:44
BPI17,random_role,next_time,5000,5000,1,0.5919150710105896,2026-09-11T15:44:30
BPI17,random_role,next_time,5000,5000,2,0.5919488072395325,2026-09-11T15:43:56
BPI17,random_role,next_time,all,20446,0,0.5919402837753296,2026-09-11T15:28:44
BPI17,random_role,next_time,all,20446,1,0.5918397307395935,2026-09-11T15:44:30
BPI17,random_role,next_time,all,20446,2,0.5917467474937439,2026-09-11T15:43:56
BPI17,random_role,remaining_count,0,0,0,18.45901870727539,2026-09-11T15:28:44
BPI17,random_role,remaining_count,0,0,1,18.803081512451172,2026-09-11T15:44:30
BPI17,random_role,remaining_count,0,0,2,18.649200439453125,2026-09-11T15:43:56
BPI17,random_role,remaining_count,10,10,0,11.98082160949707,2026-09-11T15:28:44
BPI17,random_role,remaining_count,10,10,1,12.047908782958984,2026-09-11T15:44:30
BPI17,random_role,remaining_count,10,10,2,12.301453590393066,2026-09-11T15:43:56
BPI17,random_role,remaining_count,100,100,0,11.974628448486328,2026-09-11T15:28:44
BPI17,random_role,remaining_count,100,100,1,12.05302619934082,2026-09-11T15:44:30
BPI17,random_role,remaining_count,100,100,2,12.29540729522705,2026-09-11T15:43:56
BPI17,random_role,remaining_count,1000,1000,0,9.32815933227539,2026-09-11T15:28:44
BPI17,random_role,remaining_count,1000,1000,1,9.214303016662598,2026-09-11T15:44:30
BPI17,random_role,remaining_count,1000,1000,2,9.283767700195312,2026-09-11T15:43:56
BPI17,random_role,remaining_count,30,30,0,11.978925704956055,2026-09-11T15:28:44
BPI17,random_role,remaining_count,30,30,1,12.027844429016113,2026-09-11T15:44:30
BPI17,random_role,remaining_count,30,30,2,12.297457695007324,2026-09-11T15:43:56
BPI17,random_role,remaining_count,300,300,0,10.235710144042969,2026-09-11T15:28:44
BPI17,random_role,remaining_count,300,300,1,10.131105422973633,2026-09-11T15:44:30
BPI17,random_role,remaining_count,300,300,2,10.317300796508789,2026-09-11T15:43:56
BPI17,random_role,remaining_count,5000,5000,0,8.943385124206543,2026-09-11T15:28:44
BPI17,random_role,remaining_count,5000,5000,1,8.978219032287598,2026-09-11T15:44:30
BPI17,random_role,remaining_count,5000,5000,2,8.999469757080078,2026-09-11T15:43:56
BPI17,random_role,remaining_count,all,20446,0,8.884607315063477,2026-09-11T15:28:44
BPI17,random_role,remaining_count,all,20446,1,8.924673080444336,2026-09-11T15:44:30
BPI17,random_role,remaining_count,all,20446,2,8.890073776245117,2026-09-11T15:43:56
BPI17,random_role,remaining_time,0,0,0,12.445619583129883,2026-09-11T15:28:44
BPI17,random_role,remaining_time,0,0,1,12.445625305175781,2026-09-11T15:44:30
BPI17,random_role,remaining_time,0,0,2,12.445623397827148,2026-09-11T15:43:56
BPI17,random_role,remaining_time,10,10,0,12.066351890563965,2026-09-11T15:28:44
BPI17,random_role,remaining_time,10,10,1,12.151715278625488,2026-09-11T15:44:30
BPI17,random_role,remaining_time,10,10,2,12.257349967956543,2026-09-11T15:43:56
BPI17,random_role,remaining_time,100,100,0,12.057646751403809,2026-09-11T15:28:44
BPI17,random_role,remaining_time,100,100,1,12.160003662109375,2026-09-11T15:44:30
BPI17,random_role,remaining_time,100,100,2,12.249939918518066,2026-09-11T15:43:56
BPI17,random_role,remaining_time,1000,1000,0,8.083057403564453,2026-09-11T15:28:44
BPI17,random_role,remaining_time,1000,1000,1,8.23441219329834,2026-09-11T15:44:30
BPI17,random_role,remaining_time,1000,1000,2,8.128748893737793,2026-09-11T15:43:56
BPI17,random_role,remaining_time,30,30,0,12.05704116821289,2026-09-11T15:28:44
BPI17,random_role,remaining_time,30,30,1,12.151379585266113,2026-09-11T15:44:30
BPI17,random_role,remaining_time,30,30,2,12.255314826965332,2026-09-11T15:43:56
BPI17,random_role,remaining_time,300,300,0,8.172082901000977,2026-09-11T15:28:44
BPI17,random_role,remaining_time,300,300,1,8.077733039855957,2026-09-11T15:44:30
BPI17,random_role,remaining_time,300,300,2,8.04448127746582,2026-09-11T15:43:56
BPI17,random_role,remaining_time,5000,5000,0,7.777046203613281,2026-09-11T15:28:44
BPI17,random_role,remaining_time,5000,5000,1,7.671844005584717,2026-09-11T15:44:30
BPI17,random_role,remaining_time,5000,5000,2,7.7903947830200195,2026-09-11T15:43:56
BPI17,random_role,remaining_time,all,20446,0,7.566582202911377,2026-09-11T15:28:44
BPI17,random_role,remaining_time,all,20446,1,7.412466526031494,2026-09-11T15:44:30
BPI17,random_role,remaining_time,all,20446,2,7.4919633865356445,2026-09-11T15:43:56
BPI20ID,pfm,next_time,0,0,0,4.521254062652588,2026-09-11T10:23:06
BPI20ID,pfm,next_time,0,0,1,4.521254062652588,2026-09-11T10:23:57
BPI20ID,pfm,next_time,0,0,2,4.521254062652588,2026-09-11T10:25:26
BPI20ID,pfm,next_time,10,10,0,4.3964056968688965,2026-09-11T10:23:06
BPI20ID,pfm,next_time,10,10,1,4.703894138336182,2026-09-11T10:23:57
