task,metric,unit,higher_is_better,k,mu,seedwise_sd,between_log_sd,scale_mixing,delta_mean,delta_ci_low,delta_ci_high,delta_excludes_zero,delta_bpi13_incidents,delta_BPI17,delta_BPI20ID,delta_helpdesk,delta_mimic_transfer,value_bpi13_incidents,value_BPI17,value_BPI20ID,value_helpdesk,value_mimic_transfer,n_logs,n_eval_seeds
future_activity_set,micro_f1,micro-F1,True,1,0.8217362443606059,0.0005361261849080823,0.04109245321855493,False,-0.010447661081949878,-0.02691430970734753,0.006018987543447773,False,-0.0025231043497722094,-0.005569259325663212,-0.03018651405970252,0.0031061569849649695,-0.017065584659576416,0.8367932836214701,0.7676592071851095,0.8198625644048055,0.8793560663859049,0.8050101002057394,5,3
future_activity_set,micro_f1,micro-F1,True,2,0.8262376666069031,0.0019327973228703223,0.03872124877981279,False,-0.005946238835652684,-0.010918948624068716,-0.0009735290472366511,True,-0.00577489535013842,-0.004379153251647949,-0.012051383654276493,-0.0010348161061605188,-0.006490945816040039,0.8335414926211039,0.7688493132591248,0.8379976948102316,0.8752150932947794,0.8155847390492758,5,3
future_activity_set,micro_f1,micro-F1,True,3,0.8273029764493306,0.0007212427860803914,0.0387063497039608,False,-0.00488092899322512,-0.014645613508344308,0.004883755521894068,False,-0.013099431991577148,0.0006667375564575195,-0.011968334515889523,0.005062679449717167,-0.0050662954648336145,0.8262169559796652,0.7738952040672302,0.8380807439486185,0.8813125888506571,0.8170093894004822,5,3
future_activity_set,micro_f1,micro-F1,True,4,0.8287584821383158,0.0015836830654340332,0.037232504687009976,False,-0.003425423304239961,-0.013091405408070758,0.006240558799590837,False,-0.0031368533770244067,0.002969841162363651,-0.015907307465871212,0.0032745997111002234,-0.004327396551768059,0.8361795345942179,0.7761983076731364,0.8341417709986368,0.8795245091120402,0.8177482883135477,5,3
future_activity_set,micro_f1,micro-F1,True,5,0.8237827777862549,0.001586654703072285,0.03662304311619762,False,-0.008401127656300855,-0.029815142041063402,0.013012886728461692,False,-0.0127410888671875,0.008523166179656982,-0.03448311487833655,0.005880296230316162,-0.00918489694595337,0.8265752991040548,0.7817516326904297,0.8155659635861715,0.8821302056312561,0.8128907879193624,5,3
future_activity_set,micro_f1,micro-F1,True,6,0.826414660612742,0.00042763842904550836,0.04105146899314438,False,-0.005769244829813646,-0.029214206092350085,0.017675716432722796,False,-0.004390895366668701,0.006091435750325558,-0.03515418370564782,0.014348725477854374,-0.00974130630493164,0.8349254926045736,0.7793199022610983,0.8148948947588602,0.8905986348787943,0.8123343785603842,5,3
future_activity_set,micro_f1,micro-F1,True,7,0.8309095581372579,0.0009502013004333131,0.04002791107413196,False,-0.0012743473052978516,-0.007831367733556766,0.005282673122961062,False,-0.006358901659647698,-0.0021866957346597937,0.007502337296803829,-0.0012490153312683105,-0.004079461097717285,0.8329574863115946,0.7710417707761129,0.8575514157613119,0.8750008940696716,0.8179962237675985,5,3
future_activity_set,micro_f1,micro-F1,True,8,0.8331462184588114,0.0015421362341118102,0.04480368095861336,False,0.000962313016255667,-0.012065296434237498,0.01398992246674883,False,-0.0066103339195251465,-0.002884527047475216,0.015548865000406864,0.008054852485656738,-0.009297291437784905,0.8327060540517172,0.7703439394632975,0.8655979434649149,0.8843047618865967,0.8127783934275309,5,3
future_activity_set,micro_f1,micro-F1,True,9,0.8341892838478089,0.0002371412041860266,0.04708576336911204,False,0.0020053784052530776,-0.016884996182226882,0.020895752992733035,False,-0.009199678897857666,-0.0073203444480896,0.027995089689890507,0.002684950828552246,-0.004133125146230099,0.8301167090733846,0.7659081220626831,0.8780441681543986,0.8789348602294922,0.8179425597190857,5,3
future_activity_set,micro_f1,micro-F1,True,10,0.8290716290473938,0.00027048665345415863,0.04311704080334269,False,-0.0031122763951619394,-0.00980450118946506,0.0035799483991411814,False,-0.004104673862457275,-0.00792362292607629,-0.0024309555689493445,0.005714555581410763,-0.006816685199737549,0.835211714108785,0.7653048435846964,0.8476181228955587,0.8819644649823507,0.8152589996655782,5,3
future_activity_set,micro_f1,micro-F1,True,11,0.8282913009325663,0.0011760306578003533,0.04097649183492255,False,-0.00389260450998945,-0.010905454798734948,0.0031202457787560473,False,-0.011198381582895989,-0.00521475076675415,0.0032911101977030066,-1.875559488928591e-05,-0.0063222448031108325,0.8281180063883463,0.7680137157440186,0.8533401886622111,0.8762311538060507,0.815753440062205,5,3
future_activity_set,micro_f1,micro-F1,True,12,0.8303697943687439,0.0008162232004661736,0.042440193366367125,False,-0.0018141110738118416,-0.011249898691915245,0.0076216765442915614,False,-0.009197354316711426,-0.0067668954531351355,0.010326166947682736,-0.00019568204879760742,-0.0032367904980977746,0.8301190336545309,0.7664615710576376,0.8603752454121908,0.8760542273521423,0.818838894367218,5,3
future_activity_set,micro_f1,micro-F1,True,13,0.8341418067614238,0.0004253949798076514,0.0432991235931604,False,0.0019579013188679717,-0.008727151607889495,0.012642954245625438,False,-0.006891985734303829,0.0014192461967468262,0.005279819170633915,0.014693299929300907,-0.00471087296803796,0.8324244022369385,0.7746477127075195,0.855328897635142,0.8909432093302408,0.8173648118972778,5,3
future_activity_set,micro_f1,micro-F1,True,14,0.8301935434341431,0.0018296639042956534,0.03629988071692255,False,-0.001990362008412694,-0.01032855715480836,0.00634783313798297,False,-0.004140297571818108,0.005292713642120361,-0.011885325113932255,0.0029912988344827918,-0.0022101998329162598,0.8351760903994242,0.7785211801528931,0.8381637533505758,0.8792412082354227,0.8198654850323995,5,3
future_activity_set,micro_f1,micro-F1,True,15,0.8321839054425557,0.0006786303087115699,0.03837241627088389,False,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.8393163879712423,0.7732284665107727,0.8500490784645081,0.8762499094009399,0.8220756848653158,5,3
next_time,mae,"MAE, log1p seconds",False,0,2.0406190832455953,0.06829133081954938,1.6140890810587711,True,0.10878346363703402,-0.03568415697944598,0.253251084253514,False,0.23333130280176795,0.028015971183776855,0.21964621543884277,-0.03132073084513376,0.09424455960591627,0.880773663520813,0.6011348764101664,4.066081762313843,3.497299830118815,1.1578052838643391,5,3
next_time,mae,"MAE, log1p seconds",False,1,1.9327894171078999,0.012955166320833792,1.6092617722615867,True,0.000953797499338771,-0.012085971732863337,0.013993566731540879,False,0.0016399621963500977,0.012866079807281494,-0.0019292831420898438,-0.014936049779256333,0.00712827841440844,0.6490823229153951,0.585984985033671,3.84450626373291,3.5136845111846924,1.0706890026728313,5,3
next_time,mae,"MAE, log1p seconds",False,2,1.9543134291966757,0.015856457125459068,1.621855910084915,True,0.02247780958811436,-0.01974715528604892,0.06470277446227764,False,0.016041060288747078,0.01730436086654663,0.07083551088968898,-0.02369403839111328,0.0319021542867024,0.6634834210077921,0.5904232660929362,3.917271057764689,3.5049265225728354,1.0954628785451253,5,3
next_time,mae,"MAE, log1p seconds",False,3,1.923868179321289,0.012973122256537989,1.5967305385900705,True,-0.007967440287272209,-0.04189115434793822,0.025956273773393806,False,-0.001239478588104248,0.012410581111907959,-0.055336713790893555,-0.004043261210123994,0.00837167104085279,0.6462028821309408,0.5855294863382975,3.7910988330841064,3.5245772997538247,1.0719323952992756,5,3
next_time,mae,"MAE, log1p seconds",False,4,2.0013782064119976,0.0335596300962362,1.7193950732920096,True,0.06954258680343632,-0.13128490520188996,0.27037007880876257,False,-0.04418299595514941,0.02126387755076098,0.35228935877482126,-0.023799896240234375,0.04214258988698316,0.6032593647638956,0.5943827827771505,4.198724905649821,3.5048206647237143,1.105703314145406,5,3
next_time,mae,"MAE, log1p seconds",False,5,1.9019430081049602,0.011619604614147055,1.5759231537497012,True,-0.02989261150360103,-0.11942601834294961,0.059640795335747544,False,-0.031155387560526604,-0.015313824017842537,-0.1463076273600259,-0.0076978206634521484,0.051011602083842034,0.6162869731585184,0.557805081208547,3.700127919514974,3.5209227403004966,1.1145723263422649,5,3
next_time,mae,"MAE, log1p seconds",False,6,1.9624370336532593,0.012962542506052922,1.6287260053673147,True,0.030601414044698027,-0.012673578089387075,0.07387640617878313,False,-0.016788701216379875,0.01725604136784875,0.04989703496297215,0.02677090962727835,0.07587178548177076,0.6306536595026652,0.5903749465942383,3.896332581837972,3.555391470591227,1.1394325097401936,5,3
next_time,mae,"MAE, log1p seconds",False,7,1.881655216217041,0.005361353390303829,1.5443751242639288,True,-0.05018040339152017,-0.1857400327211758,0.08537922593813549,False,-0.038998524347941155,0.021336237589518303,-0.2396608988444009,-0.01739247639973973,0.02381364504496264,0.6084438363711039,0.5944551428159078,3.606774648030599,3.511228084564209,1.0873743693033855,5,3
next_time,mae,"MAE, log1p seconds",False,8,2.000302028656006,0.013674784983090157,1.7148968885652447,True,0.06846640904744472,-0.10000510455486333,0.23693792264975277,False,-0.05678643782933557,0.018053193887074825,0.2995320955912275,0.024854183197021484,0.05667901039123535,0.5906559228897095,0.5911720991134644,4.1459676424662275,3.55347474416097,1.1202397346496582,5,3
next_time,mae,"MAE, log1p seconds",False,9,1.87581152121226,0.006697721325809659,1.5469256769920081,True,-0.05602409839630125,-0.19052825437451115,0.07848005758190867,False,-0.057521144549051995,0.016919811566670773,-0.24048082033793117,-0.024216890335083008,0.02517855167388916,0.589921216169993,0.5900387167930603,3.605954726537069,3.5044036706288657,1.088739275932312,5,3
next_time,mae,"MAE, log1p seconds",False,10,1.9513339916865031,0.048657843407539085,1.6532493277120737,True,0.019498372077941827,-0.041704280575016406,0.08070102473090006,False,-0.03887009620666504,0.009791811307271359,0.09796063105265285,0.01205833752950003,0.016551176706949944,0.60857226451238,0.5829107165336609,3.944396177927653,3.5406788984934487,1.0801119009653728,5,3
next_time,mae,"MAE, log1p seconds",False,11,1.8805400212605794,0.012786257345605092,1.5626309824826063,True,-0.05129559834798181,-0.18851652948921807,0.08592533279325446,False,-0.04689657688140869,-0.007142464319864872,-0.24278648694356297,0.022954225540161133,0.017393310864766365,0.6005457838376363,0.5659764409065247,3.603649059931437,3.55157478650411,1.0809540351231892,5,3
next_time,mae,"MAE, log1p seconds",False,12,1.862722885608673,0.019334323799384212,1.5560042589627172,True,-0.06911273399988808,-0.17965217014210882,0.04142670214233264,False,-0.040381332238515255,-0.033913056055704716,-0.22520629564921046,-0.045785268147786606,-0.00027771790822339604,0.6070610284805298,0.5392058491706848,3.6212292512257895,3.482835292816162,1.0632830063501995,5,3
