log,arm,task,n_labels,n_train_samples,seed,value,run
BPI17,latent0_s2,next_5_activities,all,20446,1,0.6527803540229797,2026-09-07T19:50:23
BPI17,latent0_s2,next_5_activities,all,20446,2,0.6533031463623047,2026-09-07T20:05:09
BPI17,latent0_s2,next_activity,all,20446,0,0.7900369167327881,2026-09-07T19:57:56
BPI17,latent0_s2,next_activity,all,20446,1,0.7899492979049683,2026-09-07T19:50:23
BPI17,latent0_s2,next_activity,all,20446,2,0.7943364977836609,2026-09-07T20:05:09
BPI17,latent0_s2,next_time,all,20446,0,0.5918155312538147,2026-09-07T19:57:56
BPI17,latent0_s2,next_time,all,20446,1,0.5917941927909851,2026-09-07T19:50:23
BPI17,latent0_s2,next_time,all,20446,2,0.5835252404212952,2026-09-07T20:05:09
BPI17,latent0_s2,remaining_count,all,20446,0,8.10913372039795,2026-09-07T19:57:56
BPI17,latent0_s2,remaining_count,all,20446,1,8.133532524108887,2026-09-07T19:50:23
BPI17,latent0_s2,remaining_count,all,20446,2,8.126461029052734,2026-09-07T20:05:09
BPI17,latent0_s2,remaining_time,all,20446,0,7.048277854919434,2026-09-07T19:57:56
BPI17,latent0_s2,remaining_time,all,20446,1,7.353794097900391,2026-09-07T19:50:23
BPI17,latent0_s2,remaining_time,all,20446,2,7.180891990661621,2026-09-07T20:05:09
BPI17,mlp15,future_activity_set,all,20446,0,0.7488698959350586,2026-09-06T21:16:52
BPI17,mlp15,future_activity_set,all,20446,1,0.7613440752029419,2026-09-06T21:25:36
BPI17,mlp15,future_activity_set,all,20446,2,0.7469991445541382,2026-09-06T21:15:59
BPI17,mlp15,next_3_activities,all,20446,0,0.7066348791122437,2026-09-06T21:16:52
BPI17,mlp15,next_3_activities,all,20446,1,0.7050053477287292,2026-09-06T21:25:36
BPI17,mlp15,next_3_activities,all,20446,2,0.7058363556861877,2026-09-06T21:15:59
BPI17,mlp15,next_5_activities,all,20446,0,0.6466209292411804,2026-09-06T21:16:52
BPI17,mlp15,next_5_activities,all,20446,1,0.6458803415298462,2026-09-06T21:25:36
BPI17,mlp15,next_5_activities,all,20446,2,0.6437718272209167,2026-09-06T21:15:59
BPI17,mlp15,next_activity,all,20446,0,0.7966142892837524,2026-09-06T21:16:52
BPI17,mlp15,next_activity,all,20446,1,0.7974634170532227,2026-09-06T21:25:36
BPI17,mlp15,next_activity,all,20446,2,0.7993031740188599,2026-09-06T21:15:59
BPI17,mlp15,next_time,all,20446,0,0.5520025491714478,2026-09-06T21:16:52
BPI17,mlp15,next_time,all,20446,1,0.5542521476745605,2026-09-06T21:25:36
BPI17,mlp15,next_time,all,20446,2,0.5811965465545654,2026-09-06T21:15:59
BPI17,mlp15,remaining_count,all,20446,0,8.06482219696045,2026-09-06T21:16:52
BPI17,mlp15,remaining_count,all,20446,1,8.104252815246582,2026-09-06T21:25:36
BPI17,mlp15,remaining_count,all,20446,2,8.141837120056152,2026-09-06T21:15:59
BPI17,mlp15,remaining_time,all,20446,0,7.149087905883789,2026-09-06T21:16:52
BPI17,mlp15,remaining_time,all,20446,1,7.134209156036377,2026-09-06T21:25:36
BPI17,mlp15,remaining_time,all,20446,2,7.327439785003662,2026-09-06T21:15:59
BPI17,norole,future_activity_set,all,20446,0,0.7155119180679321,2026-09-06T23:01:51
BPI17,norole,future_activity_set,all,20446,1,0.7101973295211792,2026-09-06T23:08:04
